date,zipcode,time_block,traffic_volume,avg_travel_time
2012-02-22,11213,3,82.0,186.0
2012-02-22,11213,4,107.5,186.0
2012-02-22,11213,9,685.0,186.0
2012-02-22,11213,15,915.0,186.0
2012-02-22,11213,18,981.5,186.0
2012-02-22,11213,20,630.5,186.0
2012-02-22,11418,0,60.0,430.0
2012-02-22,11418,14,243.5,430.0
2012-02-22,11418,15,252.5,430.0
2012-02-22,11418,17,264.5,430.0
2012-02-22,11418,21,127.5,430.0
2012-02-22,11418,22,110.5,430.0
2012-02-23,11226,0,27.0,370.0
2012-02-23,11226,5,27.5,370.0
2012-02-23,11226,7,113.0,370.0
2012-02-23,11226,22,76.5,370.0
2012-02-23,11374,4,179.0,416.0
2012-02-23,11374,7,1220.0,416.0
2012-02-23,11374,12,975.5,416.0
2012-02-23,11374,15,1388.0,416.0
2012-02-23,11374,23,419.0,416.0
